"id","belongs_to","name","nft_ip_id","image_url"
clu0x2c6v0003a91n6ndo981t,"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Collins,"0x7a80FFa881C837Ba1c44be0BB615D94b566b5D9F",https://arweave.net/Icny7FXyTMNG6S8ozdHsXzMO3H8OS1gOqj-8dcKmIqc
clu0x2c6v0004a91nbe1eaj4z,"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Darcy,"0x37408b383D04a6A2CcD30e93541a54df4D1388bA",https://arweave.net/jI6u8nhaZitApfC-egkRF7GB5ZlcyQtyCR6gzw75wdE
clu0x2c6v0005a91nes42gz0w,"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Elizabeth,"0x4494D8995877F40e8b4Eb98F1513cf9e34c8bAD5",https://arweave.net/utFvaK9BfbO9-b1Z4hxuR2j4FuL4w2dA623pZsk7BFs
clu0x2c6v0006a91n5czvcv7q,"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Jane,"0x36a186e086eC91983667cDDCD858Ed9795CDEa76",https://arweave.net/8fqLXds6PbBmIdxeOmeI9J1JvEIcN8eTv5DqCbnxOfQ
clu0x2c6w0007a91n91zybh47,"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Lizzy,"0x7ABc02934A22278d332d5c28c2075f5DDA956A24",https://arweave.net/7NEed8lljOcAwBlEoYHXkjxkGd2PQk1vERibPUAyXKg
clu0x2c6w0008a91n3m694vbe,"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Lydia,"0x178DCA93c86C1Add4746981Bb3447eA342A7f388",https://arweave.net/p26R4PNFK3qOorI-hypfN9yyWENl2nrNIoL4dRyjewM
clu0x2c6w0009a91ncv1r5ere,"724e93a0-e3d1-4555-81ce-e98bd63f19f3",Wickham,"0x8542C765a4b0EcfdD8171e35e88bFa9e00145389",https://arweave.net/8Vopu_JfTm9w0xJIbCHqijH4Nu7aANXYFb9uPi69Zds
clu0y6vxy00003m1nd57f0eiq,"487a0b3b-ad79-4eaf-ba90-a43378fb6031",Agatha,"0xDeBf5FaFC91a7D25a227b8F2EC113af54ced05CA",https://arweave.net/TtkdAgzZwKaBgam5XwUGVf6q6E7uO0hKezRRTpHexg4
clu0y6vxz00013m1nfvrc2ehf,"487a0b3b-ad79-4eaf-ba90-a43378fb6031",Clerval,"0x3232E9FFEa11dB37C53e19305B341DFf079C8b4C",https://arweave.net/L4_w1x7zqrYh91B1u28Cvv1kbYdSJKEDrURfQn6wkkg
clu0y6vxz00023m1n0yp0dxcw,"487a0b3b-ad79-4eaf-ba90-a43378fb6031",Elizabeth,"0x1e5DD4f84d6a350975f75eBc60a514DdC9b0DBf6",https://arweave.net/heg2WL6A0e2l1xqbtBXB7qel6fI1HHnG9qzlgjYUwZo
clu0y6vxz00033m1n5j3g5t8y,"487a0b3b-ad79-4eaf-ba90-a43378fb6031",Felix,"0x1EfAF5db23bfbcB9D669ebdC0AC0c31207EdC2E1",https://arweave.net/5R0JOaEpANqFT-ymheG1bg1COR6UwkJ_uhzIBW7_d7k
clu0y6vxz00043m1n82te9m1p,"487a0b3b-ad79-4eaf-ba90-a43378fb6031",Frankenstein,"0x70f9BC96566E1E4394aA0375052fA91F9e2AbA2b",https://arweave.net/BlJaA_n_cONEm5X5W8i9dQSEJN0Bs5Bp-l2Uzn6kvpk
clu0y6vxz00053m1n9dw54ke9,"487a0b3b-ad79-4eaf-ba90-a43378fb6031",Henry,"0x853f4c23f15e7B93C76B18aEC22DB50cb8eee044",https://arweave.net/uagip4CfWtxsiTumk9FZC1GQmiZXZGruBoK_CHUlGuI
clu0y6vxz00063m1nevq9htkf,"487a0b3b-ad79-4eaf-ba90-a43378fb6031",Justine,"0x734d361776a2D863ad7F9d67Cfa5a84Eb2D690d9",https://arweave.net/7O1fOvhHkU887Vw8w8OmKEX0AJOpKArl180RnuRal5M
clu0y6vy000073m1n0blb8f8i,"487a0b3b-ad79-4eaf-ba90-a43378fb6031",Safie,"0xA21a8028121eFfe74446852fbF7196f3ac5a0514",https://arweave.net/V76qww_sEUsHkg8nbBeoDHYKfgmV-6t5Tz382B3rRjU
clu0y6vy000083m1n8u1a3bil,"487a0b3b-ad79-4eaf-ba90-a43378fb6031",Victor,"0xb4498d7Af043632b0Dae0b923cACBc918F962a2b",https://arweave.net/7H0PSsOX1A6JEbP8heYB7hByiSP2av0uP4OR4t24muE
clu0y6vy000093m1ne259atmr,"487a0b3b-ad79-4eaf-ba90-a43378fb6031",William,"0x66155e3BC6a9225f20e250171e3Ca1C6F51A9117",https://arweave.net/GCrkkczAk8RFhilhlA45-5-3xGsMi1fF366qOp6TpjY
clu0y7q8l0000591n5lni1gdp,f21b8ec8-9392-4e02-a081-91b892c44fb4,Darling,"0x0024EE830d1D7680A561338B91e51ceEbC9261F3",https://arweave.net/eiJDyfUqiqLSm3bVoo1YdBJr4d14owyCOGd1rmzy8sA
clu0y7q8m0001591n1uuw4nwl,f21b8ec8-9392-4e02-a081-91b892c44fb4,Hook,"0x122A5F77D09ad93B66771224Ecfaaa248252e258",https://arweave.net/4ZzlWV4EqK9ipr7EDk4KxJ3kaKLVUEDF_njWPXWHmfk
clu0y7q8m0002591na2t90p47,f21b8ec8-9392-4e02-a081-91b892c44fb4,John,"0xF02CEaf7cc42E1AC67826CFF879bE2AA64350D8E",https://arweave.net/Mi-EfEq0nDJ8f68_jIKO0gX7JWMghz61Iqj1OHcb-aQ
clu0y7q8n0003591n9l93by0m,f21b8ec8-9392-4e02-a081-91b892c44fb4,Michael,"0xEE3B0d6B76AE133B259277D82c26314Be2FE270a",https://arweave.net/PeBDJMiDIEnBRKIogY2SzM3DeT5oqejiepJ1zhBHkwo
clu0y7q8n0004591n6zb72g0m,f21b8ec8-9392-4e02-a081-91b892c44fb4,Nana,"0xCE511dD1aA674a1733Cf330BeDE45213a1c36Bc3",https://arweave.net/IP8Q4n9Q_HWeFb3SWISRiTV64iTg9X9hatF3iyUu718
clu0y7q8n0005591n4jyodaha,f21b8ec8-9392-4e02-a081-91b892c44fb4,Peter,"0x5ce6E9AD065c1295560ddF33d87cfBe640214a6D",https://arweave.net/penT_SsIGec9moVYTSXI1xuIe5Cw4jmtx5hbARrnUt8
clu0y7q8n0006591n3q0xavsq,f21b8ec8-9392-4e02-a081-91b892c44fb4,Smee,"0xFdBF3d64BC681A503D78Ea3e4c0963Ea19c90a5b",https://arweave.net/T8LhrQR2T7bl4J_0VgKklk_XHP-2uU5nC5FpOWCi88E
clu0y7q8n0007591n23d9d19m,f21b8ec8-9392-4e02-a081-91b892c44fb4,Tink,"0xbEEdFE675F7E6bE4Ac0BfDf8cfBA5baBaE41f91B",https://arweave.net/6Eyd8OT5n0jPZblCXIpbb-SULM4Utjb3VL5nqcETpyo
clu0y7q8n0008591nc8hm83xu,f21b8ec8-9392-4e02-a081-91b892c44fb4,Tootles,"0x4C7ed8896A01988918F3F104D8ecDFccFce5da58",https://arweave.net/WS2WVtkoK1pXgCyFeSqBv4SCZsWP1qAiX2NlO1xJpns
clu0y7q8n0009591n17gddiw1,f21b8ec8-9392-4e02-a081-91b892c44fb4,Wendy,"0xf7Dae48E8613F0338BAcD7B93e50490454c64919",https://arweave.net/7uBTlVsXp7Px0-sw-49oNOLeDd5NNUx-ikFFz9zVC3c
clu0y8ju400006z1ncd9p8l5e,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,Archer,"0x4FA63362c096E49400BC94f2Afb7b065C57c1347",https://arweave.net/Gyr9NMr7OTlKenohThsVAwk32YmXiq0_IT36eFCEefk
clu0y8ju500016z1n8ml54ows,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,Beaufort,"0xE48a5653dC73b3282F8b63Bb9Da17285c4168cF5",https://arweave.net/d-HBWDj-pupPgqgSCxIRHvCSX7oAQb5I-AxQ1Sk6S_8
clu0y8ju500026z1n0llq37iw,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,Ellen,"0xD43a6de973f81A6911ecC63dE42c00D69cbbf866",https://arweave.net/k0Ex_DPWZHRU1_zrTaMlyQEtwwYjpYw4goZqCIMPCHU
clu0y8ju500036z1n12mg2sxs,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,Letterblair,"0xeA05515707ea16598c94559c850315b58029d6cb",https://arweave.net/vXGVdID7bbVMcNCrtCEPa6lzzYPMRsJ4s1ydw3yLs1E
clu0y8ju500046z1nah0ycbpq,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,May,"0xCbEb34641086F74dF0D11cAc6Ff36242b21AB195",https://arweave.net/5yLyRoWNUiNRUPneTUskubjSiAfykOg9Jz4kJVs-DNk
clu0y8ju600056z1n9ohkb56c,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,Mingott,"0x4c945FB8a6B4c01FE78DFFc716a249FFaF72E441",https://arweave.net/799gQy6MMyJSyxQk65IKMOlEBvDJXdxaBlYqFomrhIw
clu0y8ju600066z1ndadj9fsg,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,Newland,"0x41bC6dB0819275166b874732A6611e5253B8A2Fd",https://arweave.net/v90mZNATdBLRfy3b52d-sCEJIsCYr1Alftd7RUZZsFA
clu0y8ju600076z1n66cy4r09,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,Olenska,"0x844e8a48DFb26d27774E21d0C05Ff68E2Ab121A0",https://arweave.net/1w5APQVYmaRIACboIx9il83CXXP6M5_6cYWVW38xK6s
clu0y8ju600086z1ndvcc1cwc,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,van_der_Luyden,"0x2e0a45a6916178Cc56B33882ca305269edEdE00C",https://arweave.net/6G_8vYmszyEYkZeYArJUofarD72_rA3dumnfb1BP3GM
clu0y8ju600096z1n9w15ds93,abf1c4ac-75ac-471d-80b6-f66bf98e0d8a,Welland,"0xD8c4107008F413B8d2A6385ea80a454fdA5d8c15",https://arweave.net/JeF85LTMbGGlGilcDaXiVdWByaSZQgPZNgvirjJQ0A8
clu0y9my000008v1nhpdugt60,"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd",Akela,"0x31f2a2Ec12d6A091B01791C65e0d1d25fd4940D8",https://arweave.net/zM1QZwGt4P9BNSPf3DHcDSztJ8olXNsPh5mdSULCjVE
clu0y9my100018v1n9ensfkwh,"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd",Bagheera,"0x076B3951970B93382AF034490dbA024D1BD254Fe",https://arweave.net/5_8PjtZuuxxAkEzKKp4WFapqJM-OmL3-bjSMON4rr1E
clu0y9my100028v1n71szh3ul,"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd",Baloo,"0x1C3c7f0Fbfbddb552b7B8466643fC35B2014CB2A",https://arweave.net/7rXIEBe7nArNXeqJiGv7smSeZ86unIaLaPM9PXD4tVA
clu0y9my100038v1ndqpdh3xa,"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd",Kaa,"0xf5551B741dF26C1AA0ED5dFc8Ef341a2d08F75f8",https://arweave.net/wKGNYNMykLQDj114fDDrETFJFrQ4-TjtG916EhTByMQ
clu0y9my100048v1n4qtlf87l,"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd",Kala_Nag,"0x69C30f5eeD6f002c9C2A99a4b2EF0aF11941A9b7",https://arweave.net/uX3BX3F-nz1qSREfp5qqEaqmZQhCtgrnNpaVxA8JHvk
clu0y9my100058v1n63yuflku,"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd",Mowgli,"0xa76D1D34e9E208Cdd5bc1A4c04C53Ea78037d86D",https://arweave.net/pgE3ZUVV25mGQrjYekaU5aW5hfvCn6EyUfNhlx-knhM
clu0y9my200068v1n8th90ci5,"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd",Rikki-tikki,"0x72FDC23455970F70dc1B58fFfb4075035b251Cdd",https://arweave.net/N3a8zMmsGbDCkEgxKFSvqBFFo5c7o-BNtObvJZqw98w
clu0y9my200078v1ngopn6tyq,"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd",Shere_Khan,"0x535db6BbA790eA0378d62c18C608630419a32053",https://arweave.net/vdXmMAc8Uffg7UnwgYR4atHu9UuBOkBfKI1gh6i9Aq4
clu0y9my200088v1n3mbvdhlz,"7e02207e-f0e1-4eb7-acb2-cebd2fb868bd",Toomai,"0x666A51e4E19DfeD403CCC0EEF540e1A76cd868D2",https://arweave.net/uDwec9KVXX4dplsJ4rrr41qq5aILxKfzi3a4Z2R73JE
